assignment_id,agreement,image,most_common_class,most_common_verdict,verdicts,classes,final_verdict,comment
00022bbe55--63764ed07c35c13555f034b3,0.3333333333333333,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36421205/thumbnails/eu.138e554a-4943-4c5d-8e90-7ccf32972e72.jpg,plate,yes,"Counter({'yes': 2, 'other': 1})","Counter({'plate': 1, 'spoon': 1, 'other': 1})",REJECT,doesn't satisfy the requrements
00022bbe55--63764ed67c35c13555f03546,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36421205/thumbnails/eu.9450a1f0-5b5f-4d58-8b0a-008573d3ff23.jpg,knife,yes,Counter({'yes': 3}),Counter({'knife': 3}),ACCEPT,good job
00022bbe55--63764eda441f157a2a3fb9cf,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36421205/thumbnails/eu.226be49f-47e1-4255-b97c-8995ce66ecfa.jpg,knife,yes,Counter({'yes': 3}),Counter({'knife': 3}),ACCEPT,good job
00022bbe55--63764eda9376542ef779338a,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36421205/thumbnails/eu.4f878d2d-e362-4253-a643-430ba7d1158f.jpg,spoon,yes,Counter({'yes': 3}),Counter({'spoon': 3}),ACCEPT,good job
00022bbe55--63764eddc9e3e243ce841375,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36421205/thumbnails/eu.0b74385d-0fbc-4d8b-a0bc-7237b96d12e8.jpg,fork,yes,Counter({'yes': 3}),Counter({'fork': 3}),ACCEPT,good job
00022bbe55--63764eddee7d356a0865ee2e,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36421205/thumbnails/eu.baf23edd-e0f5-41a3-9526-617ccbe3a833.jpg,knife,yes,Counter({'yes': 3}),Counter({'knife': 3}),ACCEPT,good job
00022bbe55--63764ee2d3c878690bc5bee6,0.6666666666666666,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36421205/thumbnails/eu.4192fcf4-7bcc-456f-98f9-cffc855ba0df.jpg,glass,internet,Counter({'internet': 3}),"Counter({'glass': 2, 'spoon': 1})",REJECT,doesn't satisfy the requrements
00022bbe55--63764ee35a4d4b776b0dee99,0.6666666666666666,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36421205/thumbnails/eu.b53ecc21-f909-492b-bfdd-30932a194086.jpg,cup,yes,"Counter({'yes': 2, 'internet': 1})","Counter({'cup': 2, 'glass': 1})",ACCEPT,good job
00022bbe55--63764ee43903154c8badb2e8,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36421205/thumbnails/eu.4a700f88-3fce-474e-9602-17c0e5ae31c5.jpg,other,other,"Counter({'other': 2, 'internet': 1})",Counter({'other': 3}),REJECT,doesn't satisfy the requrements
00022bbe55--63764ee4441f157a2a3fba6f,0.6666666666666666,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36421205/thumbnails/eu.eeb3db54-f133-4df1-b648-5bab49bb9d04.jpg,plate,yes,"Counter({'yes': 2, 'other': 1})","Counter({'plate': 2, 'other': 1})",ACCEPT,good job
